tx_id,timestamp,channel,amount_inr,sender_account_id,sender_name,sender_pan,sender_dob,sender_bank,sender_ifsc,sender_vpa,receiver_account_id,receiver_name,receiver_pan,receiver_dob,receiver_bank,receiver_vpa,receiver_state,receiver_city,tx_location_city,tx_location_state,tx_location_country,tx_location_lat,tx_location_lon,device_id,purpose_code,is_cross_border,fx_usd_inr,usd_equiv,beneficiary_id,tx_status
TX20260602001244,2026-06-02T11:18:00,NEFT,32820,ACC05975,Rohan Verma,CKMJZ0975I,1961-01-25,AXIS,UTIB0679,acc05975@okaxis,EXT92336,Karan Verma,,,PUNB,karan@okindb,TN,Coimbatore,Coimbatore,TN,IN,11.0168,76.9558,DEV-ACC05975,P0008,0,,,,SUCCESS
TX20260601001021,2026-06-01T10:30:00,RTGS,14997,ACC83482,Rohan Bose,HOYUO1632C,1958-11-17,UTIB,UTIB0842,acc83482@okaxis,EXT16686,Vivaan Das,,,INDB,vivaan@okpunb,DL,New Delhi,New Delhi,DL,IN,28.6139,77.209,DEV-ACC83482,P0099,0,,,,SUCCESS
TX20260512000541,2026-05-12T09:00:00,SWIFT,2331673.54,ACCX976V,Anjali Menon,LIRRJ2976V,1986-10-02,BANK_A,HDFC0710,,BENE_426,Overseas Beneficiary,,,FOREIGN,,,,Mumbai,MH,IN,19.076,72.8777,DEV-ACCX976V,S0001_business,1,84.8159,27491.0,BENE_426,SUCCESS
TX20260604001104,2026-06-04T03:22:00,NEFT,10923,ACC09817,Rohan Pillai,JTHQX4677K,2001-12-25,UTIB,UTIB0791,acc09817@okicic,EXT19405,Suresh Pillai,,,YESB,suresh@okutib,DL,New Delhi,New Delhi,DL,IN,28.6139,77.209,DEV-ACC09817,P0014,0,,,,SUCCESS
TX20260602001924,2026-06-02T10:55:00,UPI,8077,ACC54044,Kavya Rao,LOIXT0434E,1973-03-01,PUNB,KKBK0326,acc54044@okicic,EXT94442,Aditya Das,,,HDFC,aditya@okhdfc,KL,Thiruvananthapuram,Thiruvananthapuram,KL,IN,8.5241,76.9366,DEV-ACC54044,P0006,0,,,,SUCCESS
TX20260602001050,2026-06-02T00:10:00,RTGS,25328,ACC03622,Vivaan Patel,GEGFW8407L,1977-12-17,UTIB,AXIS0232,acc03622@okutib,EXT70226,Aarav Bose,,,SBIN,aarav@oksbin,HR,Gurugram,Gurugram,HR,IN,28.4595,77.0266,DEV-ACC03622,P0008,0,,,,SUCCESS
TX20260601000035,2026-06-01T18:00:00,NEFT,206102,ACC29167,Neha Khan,XERPI7278N,1995-02-11,HDFC,HDFC0361,acc29167@okyesb,EXT44886,Anjali Verma,,,ICIC,anjali@okaxis,TN,Coimbatore,Coimbatore,TN,IN,11.0168,76.9558,DEV-ACC29167,P0099,0,,,,SUCCESS
TX20260604001436,2026-06-04T08:05:00,RTGS,17310,ACC31726,Vivaan Menon,HFWPU3368G,1961-01-24,UTIB,ICIC0850,acc31726@okindb,EXT95956,Suresh Menon,,,SBIN,suresh@okhdfc,KA,Mangaluru,Mangaluru,KA,IN,12.9141,74.856,DEV-ACC31726,P0013,0,,,,SUCCESS
TX20260603000268,2026-06-03T11:00:00,RTGS,741086,ACC80592,Aditya Bose,HYXBN5269P,1981-01-01,PUNB,AXIS0825,acc80592@okaxis,EXT89493,Pan-Asian Imports Ltd,WXBLK9316C,2002-09-02,HDFC,pan-asian@okaxis,TN,Coimbatore,Coimbatore,TN,IN,11.0168,76.9558,DEV-ACC80592,P0099,0,,,,SUCCESS
TX20260602001206,2026-06-02T07:51:00,UPI,8900,ACC83664,Vivaan Reddy,UMIBD9440Z,1957-11-14,UTIB,YESB0757,acc83664@oksbin,EXT38805,Sachin Pillai,,,AXIS,sachin@okkkbk,KL,Thiruvananthapuram,Thiruvananthapuram,KL,IN,8.5241,76.9366,DEV-ACC83664,P0008,0,,,,SUCCESS
TX20260603001713,2026-06-03T01:05:00,RTGS,20104,ACC82737,Isha Gupta,MIFSJ4306A,1961-10-05,INDB,KKBK0704,acc82737@okindb,EXT86443,Aishwarya Pillai,,,INDB,aishwarya@okindb,GJ,Ahmedabad,Ahmedabad,GJ,IN,23.0225,72.5714,DEV-ACC82737,P0014,0,,,,SUCCESS
TX20260602000112,2026-06-02T19:42:00,UPI,2941,ACC83475,Rohan Gupta,NGSPF3928L,1989-07-14,AXIS,AXIS0933,acc83475@okindb,EXT49419,Suresh Reddy,,,UTIB,suresh@okicic,MH,Nagpur,Nagpur,MH,IN,21.1458,79.0882,DEV-ACC83475,P0099,0,,,,SUCCESS
TX20260603000208,2026-06-03T03:18:00,UPI,7949,ACC77324,Vivaan Verma,SYMCZ9842Z,2000-05-16,AXIS,AXIS0863,acc77324@okicic,EXT63313,Aishwarya Pillai,,,HDFC,aishwarya@okicic,KA,Mangaluru,Mangaluru,KA,IN,12.9141,74.856,DEV-ACC77324,P0099,0,,,,SUCCESS
TX20260602000702,2026-06-02T14:34:00,RTGS,30338,ACC66507,Aarav Patel,WACAU9308Z,2000-09-03,YESB,AXIS0706,acc66507@okicic,EXT36309,Aditya Iyer,,,ICIC,aditya@okhdfc,RJ,Jodhpur,Jodhpur,RJ,IN,26.2389,73.0243,DEV-ACC66507,P0014,0,,,,SUCCESS
TX20260603001334,2026-06-03T17:11:00,UPI,31273,ACC71225,Isha Bose,EOLLY1792V,1984-09-10,UTIB,PUNB0587,acc71225@okutib,EXT64390,Aarav Joshi,,,PUNB,aarav@okkkbk,TN,Coimbatore,Coimbatore,TN,IN,11.0168,76.9558,DEV-ACC71225,P0099,0,,,,SUCCESS
TX20260602000074,2026-06-02T02:02:00,UPI,13512,ACC75971,Kavya Sharma,ZJNJL3256I,1982-04-01,AXIS,AXIS0690,acc75971@okaxis,EXT77273,Priya Das,,,HDFC,priya@okhdfc,DL,New Delhi,New Delhi,DL,IN,28.6139,77.209,DEV-ACC75971,P0099,0,,,,SUCCESS
TX20260603001319,2026-06-03T01:18:00,RTGS,13809,ACC86872,Rohan Reddy,ATZUV8023H,2002-04-19,AXIS,KKBK0494,acc86872@okpunb,EXT80262,Suresh Sharma,,,KKBK,suresh@okaxis,KL,Thiruvananthapuram,Thiruvananthapuram,KL,IN,8.5241,76.9366,DEV-ACC86872,P0014,0,,,,SUCCESS
TX20260603000944,2026-06-03T04:40:00,UPI,13053,ACC73329,Neha Joshi,SEQUY5747A,2000-05-28,PUNB,INDB0932,acc73329@okicic,EXT96613,Isha Singh,,,SBIN,isha@oksbin,MH,Nagpur,Nagpur,MH,IN,21.1458,79.0882,DEV-ACC73329,P0006,0,,,,SUCCESS
TX20260601000717,2026-06-01T14:03:00,NEFT,13011,ACC13255,Rohan Bose,LYHWN5668D,1963-12-03,PUNB,KKBK0650,acc13255@okyesb,EXT33785,Sachin Nair,,,ICIC,sachin@okyesb,KL,Thiruvananthapuram,Thiruvananthapuram,KL,IN,8.5241,76.9366,DEV-ACC13255,P0008,0,,,,SUCCESS
TX20260602001496,2026-06-02T07:34:00,RTGS,9783,ACC74898,Anjali Joshi,BMQTO4776A,1973-06-22,ICIC,KKBK0162,acc74898@okhdfc,EXT96201,Vivaan Nair,,,HDFC,vivaan@okyesb,TG,Hyderabad,Hyderabad,TG,IN,17.385,78.4867,DEV-ACC74898,P0099,0,,,,SUCCESS
TX20260603001784,2026-06-03T19:17:00,UPI,22248,ACC38397,Aarav Sharma,DJWHM5720C,1995-06-09,ICIC,SBIN0236,acc38397@oksbin,EXT18186,Suresh Sharma,,,AXIS,suresh@oksbin,TG,Hyderabad,Hyderabad,TG,IN,17.385,78.4867,DEV-ACC38397,P0013,0,,,,SUCCESS
TX20260601001142,2026-06-01T21:06:00,RTGS,21657,ACC33827,Rohan Das,VXTVG8246M,1985-12-25,ICIC,PUNB0192,acc33827@okindb,EXT30897,Aditya Joshi,,,ICIC,aditya@okaxis,MH,Mumbai,Mumbai,MH,IN,19.076,72.8777,DEV-ACC33827,P0006,0,,,,SUCCESS
TX20260603000913,2026-06-03T11:34:00,UPI,565,ACC58791,Suresh Singh,KDHPJ6757O,1992-04-07,UTIB,SBIN0485,acc58791@okkkbk,EXT63948,Sachin Nair,,,ICIC,sachin@oksbin,HR,Gurugram,Gurugram,HR,IN,28.4595,77.0266,DEV-ACC58791,P0008,0,,,,SUCCESS
TX20260602000891,2026-06-02T05:53:00,RTGS,12924,ACC16679,Sachin Singh,UEGSI3848F,1984-11-22,UTIB,AXIS0355,acc16679@okhdfc,EXT47171,Priya Verma,,,PUNB,priya@okicic,WB,Kolkata,Kolkata,WB,IN,22.5726,88.3639,DEV-ACC16679,P0014,0,,,,SUCCESS
TX20260602000811,2026-06-02T19:36:00,UPI,23224,ACC64495,Neha Singh,ZXQOI8696V,1997-03-22,UTIB,SBIN0668,acc64495@okhdfc,EXT72261,Aishwarya Iyer,,,ICIC,aishwarya@okutib,RJ,Jaipur,Jaipur,RJ,IN,26.9124,75.7873,DEV-ACC64495,P0099,0,,,,SUCCESS
TX20260604001264,2026-06-04T01:35:00,UPI,20762,ACC08756,Mohan Nair,DZIBM8499O,1973-01-17,HDFC,INDB0595,acc08756@okhdfc,EXT44300,Ramesh Menon,,,PUNB,ramesh@okkkbk,RJ,Jaipur,Jaipur,RJ,IN,26.9124,75.7873,DEV-ACC08756,P0008,0,,,,SUCCESS
TX20260603000223,2026-06-03T15:00:00,RTGS,44596,ACC86343,Isha Gupta,XDBRX9498B,1978-03-20,KKBK,KKBK0299,acc86343@okkkbk,EXT48108,Priya Verma,,,UTIB,,TN,Coimbatore,Coimbatore,TN,IN,11.0168,76.9558,DEV-ACC86343,P0013,0,,,,SUCCESS
TX20260604000002,2026-06-04T05:00:00,NEFT,244395,ACC15513,Neha Singh,QKHUN7219K,1998-09-21,HDFC,HDFC0551,acc15513@okicic,EXT18423,Priya Sharma,,,ICIC,priya@oksbin,RJ,Jodhpur,Jodhpur,RJ,IN,26.2389,73.0243,DEV-ACC15513,P0099,0,,,,SUCCESS
TX20260601001314,2026-06-01T13:37:00,UPI,12378,ACC62354,Ramesh Khan,KTPDL9688J,1978-10-08,YESB,AXIS0978,acc62354@okutib,EXT38359,Rohan Pillai,,,SBIN,rohan@okyesb,KA,Bengaluru,Bengaluru,KA,IN,12.9716,77.5946,DEV-ACC62354,P0008,0,,,,SUCCESS
TX20260604000757,2026-06-04T01:00:00,UPI,12125,ACC08999,Kavya Joshi,XZNEI0115R,1967-04-02,YESB,KKBK0328,acc08999@okkkbk,EXT57009,Suresh Khan,,,HDFC,suresh@okutib,KL,Thiruvananthapuram,Thiruvananthapuram,KL,IN,8.5241,76.9366,DEV-ACC08999,P0014,0,,,,SUCCESS
TX20260602000064,2026-06-02T21:00:00,NEFT,189711,ACC54940,Aditya Das,LWTGO5824Q,1992-10-13,HDFC,HDFC0242,acc54940@okicic,EXT45448,Rohan Iyer,,,ICIC,rohan@okyesb,RJ,Jodhpur,Jodhpur,RJ,IN,26.2389,73.0243,DEV-ACC54940,P0099,0,,,,SUCCESS
TX20260603000742,2026-06-03T22:15:00,UPI,26506,ACC91393,Priya Singh,BHKIW9047A,1997-09-04,UTIB,AXIS0979,acc91393@okkkbk,EXT83972,Neha Nair,,,UTIB,neha@okpunb,KL,Thiruvananthapuram,Thiruvananthapuram,KL,IN,8.5241,76.9366,DEV-ACC91393,P0013,0,,,,SUCCESS
TX20260602000943,2026-06-02T20:40:00,RTGS,2715,ACC72358,Mohan Reddy,NJDTO5017B,1969-08-08,YESB,PUNB0655,acc72358@okaxis,EXT48324,Kavya Bose,,,AXIS,kavya@okaxis,HR,Gurugram,Gurugram,HR,IN,28.4595,77.0266,DEV-ACC72358,P0099,0,,,,SUCCESS
TX20260604000949,2026-06-04T08:58:00,RTGS,38836,ACC72535,Aditya Singh,WEXDJ9569K,1970-12-27,ICIC,SBIN0683,acc72535@oksbin,EXT27507,Priya Verma,,,SBIN,priya@okhdfc,RJ,Jodhpur,Jodhpur,RJ,IN,26.2389,73.0243,DEV-ACC72535,P0014,0,,,,SUCCESS
TX20260603001291,2026-06-03T06:23:00,UPI,22888,ACC69725,Rohan Patel,CBUYG0961Y,2000-11-06,YESB,UTIB0811,acc69725@okhdfc,EXT81588,Karan Singh,,,INDB,karan@oksbin,KL,Kochi,Kochi,KL,IN,9.9312,76.2673,DEV-ACC69725,P0013,0,,,,SUCCESS
TX20260602001075,2026-06-02T14:14:00,RTGS,13912,ACC84319,Karan Pillai,FZHEU9985E,1972-08-24,YESB,HDFC0684,acc84319@okaxis,EXT13168,Isha Menon,,,INDB,isha@okaxis,TN,Chennai,Chennai,TN,IN,13.0827,80.2707,DEV-ACC84319,P0006,0,,,,SUCCESS
TX20260502000244,2026-05-02T10:00:00,NEFT,48317,ACC49887,Suresh Iyer,HAWMI0814F,1964-10-12,SBIN,SBIN0243,acc49887@oksbin,EXT23217,Payroll Vendor Pvt Ltd,,,HDFC,payroll@okhdfc,TN,Chennai,Chennai,TN,IN,13.0827,80.2707,DEV-ACC49887,P0008,0,,,,SUCCESS
TX20260603000980,2026-06-03T04:09:00,RTGS,39497,ACC41350,Suresh Singh,RCSPB2587X,1988-02-17,ICIC,UTIB0143,acc41350@oksbin,EXT84064,Anjali Khan,,,AXIS,anjali@okindb,RJ,Jodhpur,Jodhpur,RJ,IN,26.2389,73.0243,DEV-ACC41350,P0008,0,,,,SUCCESS
TX20260602000705,2026-06-02T17:24:00,UPI,31481,ACC23762,Mohan Singh,RDDNQ4854D,1961-07-28,SBIN,AXIS0672,acc23762@okyesb,EXT94963,Aarav Menon,,,YESB,aarav@okhdfc,KL,Thiruvananthapuram,Thiruvananthapuram,KL,IN,8.5241,76.9366,DEV-ACC23762,P0014,0,,,,SUCCESS
TX20260603001692,2026-06-03T12:05:00,UPI,6666,ACC53341,Karan Menon,HCDTE7388C,1979-07-17,YESB,UTIB0983,acc53341@okicic,EXT92349,Karan Gupta,,,SBIN,karan@okutib,HR,Gurugram,Gurugram,HR,IN,28.4595,77.0266,DEV-ACC53341,P0099,0,,,,SUCCESS
TX20260603000976,2026-06-03T04:59:00,UPI,17481,ACC27924,Karan Gupta,MTDXE4566Z,1983-04-19,INDB,PUNB0301,acc27924@okhdfc,EXT23573,Rohan Das,,,INDB,rohan@okkkbk,TN,Chennai,Chennai,TN,IN,13.0827,80.2707,DEV-ACC27924,P0099,0,,,,SUCCESS
TX20260603000860,2026-06-03T06:54:00,UPI,980,ACC83639,Priya Iyer,UJJYM3091V,1972-11-28,INDB,SBIN0800,acc83639@okicic,EXT43753,Neha Bose,,,PUNB,neha@okicic,HR,Gurugram,Gurugram,HR,IN,28.4595,77.0266,DEV-ACC83639,P0013,0,,,,SUCCESS
TX20260603000484,2026-06-03T07:00:00,UPI,34363,ACC88294,Sachin Nair,XZIVR1599M,1959-05-26,PUNB,PUNB0573,acc88294@okkkbk,EXT64353,Ramesh Sharma,,,YESB,,DL,New Delhi,New Delhi,DL,IN,28.6139,77.209,DEV-ACC88294,P0099,0,,,,SUCCESS
TX20260512000559,2026-05-12T09:00:00,SWIFT,2423176.61,ACCX604I,Karan Sharma,XJECC0604I,1959-07-12,BANK_A,HDFC0681,,BENE_310,Overseas Beneficiary,,,FOREIGN,,,,Mumbai,MH,IN,19.076,72.8777,DEV-ACCX604I,S0001_business,1,83.7253,28942.0,BENE_310,SUCCESS
TX20260603000601,2026-06-03T12:00:00,SWIFT,915994,ACCX244B,Rohan Pillai,MLWDU2244B,1986-07-24,BANK_A,HDFC0453,,BENE_602,Overseas Beneficiary,,,FOREIGN,,,,Mumbai,MH,IN,19.076,72.8777,DEV-ACCX244B,S0001_business,1,85.9723,10654.53,BENE_602,SUCCESS
TX20260602001148,2026-06-02T01:16:00,NEFT,2437,ACC89645,Sachin Khan,RRYMJ4637C,1963-08-26,UTIB,ICIC0201,acc89645@okkkbk,EXT39452,Isha Iyer,,,INDB,isha@okhdfc,WB,Kolkata,Kolkata,WB,IN,22.5726,88.3639,DEV-ACC89645,P0006,0,,,,SUCCESS
TX20260602001975,2026-06-02T11:27:00,RTGS,524,ACC95162,Priya Verma,YKQEP0306F,1989-01-19,KKBK,ICIC0534,acc95162@okpunb,EXT46415,Aarav Das,,,ICIC,aarav@okaxis,DL,New Delhi,New Delhi,DL,IN,28.6139,77.209,DEV-ACC95162,P0014,0,,,,SUCCESS
TX20260603000280,2026-06-03T09:00:00,UPI,506799,ACC29266,Ramesh Das,FRWTF7971C,1978-09-13,YESB,INDB0142,acc29266@okindb,EXT16381,Khalid lA-Saud,AJZGP6383B,,PUNB,khalid@okaxis,HR,Gurugram,Gurugram,HR,IN,28.4595,77.0266,DEV-ACC29266,P0099,0,,,,SUCCESS
