watchlist_id,primary_name,aliases,entity_type,dob_or_incorp,nationality_or_country,pan,passport,cin_or_din,national_id_last4,last_known_address,phone,listing_source,reference_number,reason_narrative,listed_date,risk_tier
WL0011,Khalid Al-Saud,Al-Saud Khalid,INDIVIDUAL,1994-05-30,Saudi,GXEFX4024D,R1904586,10527306,,"56, Plot 43, Cyprus, CY",,UN_UNSC_SYNTHETIC,QDi.393,Listed under UNSC_2253 for alleged involvement in terror financing or designated terror group association.,2022-01-25,CRITICAL
WL0012,Pankaj Reddy,Reddy Pankaj,INDIVIDUAL,1971-05-30,Indian,LFXAQ6600X,,76040866,XXXXXXXX9464,"Unit 42, Surat GJ 395001",+91-8158324757,RBI_WILFUL_DEFAULTER_SYNTHETIC,RBI-WD-6732,Reported as Wilful Defaulter under RBI Master Direction on Wilful Defaulters. Outstanding ₹1615 crore across consortium of lenders.,2021-12-01,HIGH
WL0013,Ravi Goyal,Goyal Ravi,INDIVIDUAL,1983-03-17,Indian,HIGPA4874A,H0165937,,,"8, Sector 47, Lucknow, UP",,UN_UNSC_SYNTHETIC,QDi.055,Listed under UNSC_1267 for alleged involvement in terror financing or designated terror group association.,2018-02-17,CRITICAL
WL0014,Indo Exports LLC,Indo Exports Private Limited,ENTITY,2016-03-19,Indian,VTPLX3826D,,L65157GJ2005NPL926800,,"Shop 30, Jaipur, RJ",+91-7562657400,RBI_CAUTION_LIST_SYNTHETIC,RBI-CL-2504,Listed on RBI Caution List for previous involvement in cheque fraud / forged documents / unauthorised remittances.,2024-01-20,MEDIUM
WL0015,Divya Siddiqui,Siddiqui Divya|D. Siddiqui|Divya Siddique,INDIVIDUAL,1963-01-06,Indian,WHZLB1323W,G2017995,,XXXXXXXX6562,"Flat 406, Phase-26, Kochi, KL - 682001",+91-8260179870,MHA_UAPA_SYNTHETIC,UAPA-113/2018,Designated under Unlawful Activities Prevention Act for alleged unlawful association / terror activity.,2021-03-21,HIGH
WL0016,Rohan Rao,Rao Rohan,INDIVIDUAL,1991-07-15,Indian,EOBFH5421T,,82074402,XXXXXXXX2764,"Unit 254, Bengaluru KA 560001",,RBI_WILFUL_DEFAULTER_SYNTHETIC,RBI-WD-2738,Reported as Wilful Defaulter under RBI Master Direction on Wilful Defaulters. Outstanding ₹1676 crore across consortium of lenders.,2018-11-21,HIGH
WL0017,Sunil Pillai,Pillai Sunil,INDIVIDUAL,1996-06-24,Indian,XNTFC1610E,M8992602,,XXXXXXXX9729,"House No. 323, Sec-9, Kochi, KL - 682001",,MHA_UAPA_SYNTHETIC,UAPA-190/2019,Designated under Unlawful Activities Prevention Act for alleged unlawful association / terror activity.,2024-02-29,CRITICAL
WL0018,Abdullah Al-Hassan,Al-Hassan Abdullah,INDIVIDUAL,1958-02-13,UAE,IIMFK8040Z,S1283204,76672405,,"6, Block 36, Hong Kong, HK",+91-8630577995,UN_UNSC_SYNTHETIC,QDi.481,Listed under UNSC_1988 for alleged involvement in terror financing or designated terror group association.,2017-03-04,CRITICAL
WL0019,Tanvi Malhotra,Malhotra Tanvi|T. Malhotra,INDIVIDUAL,1989-08-18,Indian,MLFPL0868X,,49454060,XXXXXXXX1109,"Office 134, Pune MH 411001",+91-8329841271,RBI_WILFUL_DEFAULTER_SYNTHETIC,RBI-WD-9741,Reported as Wilful Defaulter under RBI Master Direction on Wilful Defaulters. Outstanding ₹2053 crore across consortium of lenders.,2024-04-02,HIGH
WL0020,United Trading Pte Ltd,United Trading Pte Limited|United Trading Pte & Sons,ENTITY,2022-09-17,Indian,MGXTR1652B,,L23004RJ2007PLC612553,,"House No. 334, Sec-9, Pune, MH - 411001",+91-9640079552,MHA_UAPA_SYNTHETIC,UAPA-210/2025,Designated under Unlawful Activities Prevention Act for alleged unlawful association / terror activity.,2025-10-11,CRITICAL
WL0021,Khan Exports Group,,ENTITY,2024-09-18,Indian,AFBTW1106E,,U39910GJ2020PLC476890,,"Office 216, Chennai TN 600001",,RBI_WILFUL_DEFAULTER_SYNTHETIC,RBI-WD-2438,Reported as Wilful Defaulter under RBI Master Direction on Wilful Defaulters. Outstanding ₹2199 crore across consortium of lenders.,2022-09-14,MEDIUM
WL0022,Agarwal Trading LLP,,ENTITY,1997-03-10,Indian,ZKMTU1070E,,L19462DL2014PTC813398,,"House No. 137, Sec-20, Chennai, TN - 600001",+91-9622305156,MHA_UAPA_SYNTHETIC,UAPA-119/2023,Designated under Unlawful Activities Prevention Act for alleged unlawful association / terror activity.,2019-07-18,CRITICAL
WL0023,Sunrise Trading Holdings,,ENTITY,2003-06-03,Indian,PVAHH3397B,,U10549KA2020PTC777632,,"Plot 51, Ahmedabad GJ 380001",,RBI_WILFUL_DEFAULTER_SYNTHETIC,RBI-WD-2601,Reported as Wilful Defaulter under RBI Master Direction on Wilful Defaulters. Outstanding ₹103 crore across consortium of lenders.,2018-01-30,MEDIUM
WL0024,Ananya Saxena,Saxena Ananya,INDIVIDUAL,1982-09-10,Indian,XCBLO9188K,,79008502,XXXXXXXX5369,"Unit 185, Jaipur RJ 302001",,RBI_WILFUL_DEFAULTER_SYNTHETIC,RBI-WD-1699,Reported as Wilful Defaulter under RBI Master Direction on Wilful Defaulters. Outstanding ₹2060 crore across consortium of lenders.,2022-04-02,MEDIUM
WL0025,Anjali Malhotra,Malhotra Anjali|A. Malhotra,INDIVIDUAL,1974-02-05,Indian,ONJTV5623H,,,,"House No. 72, Sec-27, Surat, GJ - 395001",,MHA_UAPA_SYNTHETIC,UAPA-146/2020,Designated under Unlawful Activities Prevention Act for alleged unlawful association / terror activity.,2021-06-10,CRITICAL
WL0026,Ibrahim Al-Mansoor,Al-Mansoor Ibrahim|I. Al-Mansoor|Ibrahim Al-Manosor,INDIVIDUAL,1983-11-25,Afghan,GYWTK4786A,F3672627,,,"37, Sector 12, Hong Kong, HK",,UN_UNSC_SYNTHETIC,QDi.255,Listed under UNSC_1988 for alleged involvement in terror financing or designated terror group association.,2024-12-05,CRITICAL
WL0027,Ajay Mukherjee,Mukherjee Ajay|A. Mukherjee,INDIVIDUAL,1978-05-27,Indian,GNAAG3861M,,,,"Flat 107, Phase-30, Hyderabad, TS - 500001",,MHA_UAPA_SYNTHETIC,UAPA-189/2018,Designated under Unlawful Activities Prevention Act for alleged unlawful association / terror activity.,2024-09-09,HIGH
WL0028,Priya Patel,Patel Priya|P. Patel,INDIVIDUAL,1991-06-20,Nepalese,ZYGLI3236R,,,,"81, Block 31, Mumbai, MH",+91-7618988776,UN_UNSC_SYNTHETIC,QDi.431,Listed under UNSC_2253 for alleged involvement in terror financing or designated terror group association.,2003-10-11,CRITICAL
WL0029,United Resources Holdings,,ENTITY,2007-08-04,Indian,XPBFS6702S,,U56908TN2020NPL694681,,"Plot 229, Bengaluru KA 560001",+91-9604956754,RBI_WILFUL_DEFAULTER_SYNTHETIC,RBI-WD-3630,Reported as Wilful Defaulter under RBI Master Direction on Wilful Defaulters. Outstanding ₹1734 crore across consortium of lenders.,2025-11-14,MEDIUM
WL0030,Vinod Choksi,Choksi Vinod|V. Choksi,INDIVIDUAL,1953-04-08,Indian,ABATB6604Y,D4075490,,XXXXXXXX1394,"House No. 201, Sec-20, Mumbai, MH - 400001",,MHA_UAPA_SYNTHETIC,UAPA-178/2019,Designated under Unlawful Activities Prevention Act for alleged unlawful association / terror activity.,2022-09-19,HIGH
WL0031,Modi Holdings Industries,,ENTITY,2001-03-25,Indian,OFQPD2938Y,,U01979RJ2012NPL109718,,"Plot 182, Indore MP 452001",+91-8191269398,RBI_WILFUL_DEFAULTER_SYNTHETIC,RBI-WD-5045,Reported as Wilful Defaulter under RBI Master Direction on Wilful Defaulters. Outstanding ₹544 crore across consortium of lenders.,2025-11-16,HIGH
WL0032,Neha Kumar,Kumar Neha|N. Kumar,INDIVIDUAL,1987-11-19,Indian,BIRFS9014L,,,,"Shop 184, Kolkata, WB",+91-8908702966,RBI_CAUTION_LIST_SYNTHETIC,RBI-CL-9618,Listed on RBI Caution List for previous involvement in cheque fraud / forged documents / unauthorised remittances.,2025-06-12,MEDIUM
WL0033,Ananya Mishra,Mishra Ananya,INDIVIDUAL,1965-01-14,Indian,MKPFL0754Q,F0924806,,XXXXXXXX3796,"Last known: Singapore, Singapore (originally Noida)",,ED_FUGITIVE_SYNTHETIC,FEOA-006/2019,Declared Fugitive Economic Offender under FEOA 2018 in connection with alleged bank fraud / loan default exceeding ₹100 crore.,2018-01-28,CRITICAL
WL0034,Pacific Resources Pte Ltd,Pacific Resources Pte Limited,ENTITY,2006-07-26,Indian,JWXTZ7712Y,,L05972GJ2017PTC243471,,"Unit 24, Jaipur RJ 302001",,RBI_WILFUL_DEFAULTER_SYNTHETIC,RBI-WD-9859,Reported as Wilful Defaulter under RBI Master Direction on Wilful Defaulters. Outstanding ₹544 crore across consortium of lenders.,2024-04-02,MEDIUM
WL0035,Pandey Investments Enterprises,Pandey Investments & Sons,ENTITY,2013-04-07,Indian,LMGHN6010S,,U48623GJ2006PLC544593,,"Plot 96, Pune MH 411001",+91-8509855927,RBI_WILFUL_DEFAULTER_SYNTHETIC,RBI-WD-9697,Reported as Wilful Defaulter under RBI Master Direction on Wilful Defaulters. Outstanding ₹832 crore across consortium of lenders.,2018-07-30,MEDIUM
WL0036,Sunrise Resources Ltd,Sunrise Resources Limited,ENTITY,2010-11-13,Indian,SEGTS1200B,,L42265KA2020PTC933852,,"Office 84, Mumbai, MH",,RBI_CAUTION_LIST_SYNTHETIC,RBI-CL-4638,Listed on RBI Caution List for previous involvement in cheque fraud / forged documents / unauthorised remittances.,2023-01-14,HIGH
WL0037,Khalid Al-Saud,Al-Saud Khalid,INDIVIDUAL,1978-12-15,Indian,WHITY7173A,,,,"88, Sector 33, Karachi, PK",,UN_UNSC_SYNTHETIC,QDi.450,Listed under UNSC_2253 for alleged involvement in terror financing or designated terror group association.,2005-01-18,CRITICAL
WL0038,Dilip Choksi,Choksi Dilip|D. Choksi|Dili pChoksi,INDIVIDUAL,1951-03-15,Indian,,,,,"Plot 78, Gurugram, HR - 122001",,BANK_INTERNAL_STR_SYNTHETIC,INT-STR-80503,Internal flag: entity associated with one or more historical STRs filed by the bank.,2025-01-12,HIGH
WL0039,Pooja Sheikh,Sheikh Pooja|P. Sheikh|Pojoa Sheikh,INDIVIDUAL,1973-05-21,Indian,YBPFE8419L,,,XXXXXXXX2229,"Flat 285, Phase-26, Bengaluru, KA - 560001",,MHA_UAPA_SYNTHETIC,UAPA-176/2018,Designated under Unlawful Activities Prevention Act for alleged unlawful association / terror activity.,2019-05-12,CRITICAL
WL0040,Mohan Chatterjee,Chatterjee Mohan|M. Chatterjee|Moahn Chatterjee,INDIVIDUAL,1989-04-29,Indian,VODCR0136Y,,66583555,,"Plot 205, Kochi KL 682001",+91-9155934403,RBI_WILFUL_DEFAULTER_SYNTHETIC,RBI-WD-5776,Reported as Wilful Defaulter under RBI Master Direction on Wilful Defaulters. Outstanding ₹2217 crore across consortium of lenders.,2019-02-22,MEDIUM
WL0041,Ramesh Siddiqui,Siddiqui Ramesh|R. Siddiqui|Ramesh Siddique,INDIVIDUAL,1955-05-11,Indian,GUTLO8517K,,,XXXXXXXX7002,"Plot 212, Mumbai, MH - 400001",+91-7936335645,BANK_INTERNAL_STR_SYNTHETIC,INT-STR-66993,Internal flag: entity associated with one or more historical STRs filed by the bank.,2023-08-22,HIGH
WL0042,Asif Sharma,Sharma Asif|A. Sharma|Asif Sahrma,INDIVIDUAL,1956-05-02,Indian,GIZFA3081A,,,,"Plot 283, Gurugram, HR - 122001",+91-9831268099,BANK_INTERNAL_STR_SYNTHETIC,INT-STR-77987,Internal flag: entity associated with one or more historical STRs filed by the bank.,2023-05-03,MEDIUM
WL0043,Anil Khan,Khan Anil,INDIVIDUAL,1953-10-09,Indian,PLAAM1197P,,,,"Plot 102, Hyderabad, TS - 500001",,BANK_INTERNAL_STR_SYNTHETIC,INT-STR-28305,Internal flag: entity associated with one or more historical STRs filed by the bank.,2025-08-02,HIGH
WL0044,Naresh Kumar,Kumar Naresh|N. Kumar,INDIVIDUAL,1956-03-13,Indian,JRGFR3488F,,,XXXXXXXX1543,"Shop 41, Ahmedabad, GJ",,RBI_CAUTION_LIST_SYNTHETIC,RBI-CL-2343,Listed on RBI Caution List for previous involvement in cheque fraud / forged documents / unauthorised remittances.,2024-12-14,MEDIUM
WL0045,Bhatia Exports Private Limited,Bhatia Exports Pvt Ltd,ENTITY,2025-04-20,Indian,ITOAS9398K,,U08398MH2007PTC441621,,"Unit 125, Mumbai MH 400001",+91-8414901171,RBI_WILFUL_DEFAULTER_SYNTHETIC,RBI-WD-7456,Reported as Wilful Defaulter under RBI Master Direction on Wilful Defaulters. Outstanding ₹2304 crore across consortium of lenders.,2019-12-24,MEDIUM
WL0046,Pan-Asian Imports Ltd,Pan-Asian Imports Limited,ENTITY,2002-09-02,Indian,WXBLK9316C,,U39072DL2017PLC806771,,"Plot 171, Lucknow UP 226001",,RBI_WILFUL_DEFAULTER_SYNTHETIC,RBI-WD-6559,Reported as Wilful Defaulter under RBI Master Direction on Wilful Defaulters. Outstanding ₹2266 crore across consortium of lenders.,2019-08-22,MEDIUM
WL0047,Asif Bhatia,Bhatia Asif|A. Bhatia,INDIVIDUAL,1950-03-26,Indian,NKDLG3930L,,,,"89, Plot 19, Jaipur, RJ",+91-8333195815,UN_UNSC_SYNTHETIC,QDi.068,Listed under UNSC_2253 for alleged involvement in terror financing or designated terror group association.,2019-06-14,CRITICAL
WL0048,Aarav Nair,Nair Aarav|A. Nair|Aaarv Nair,INDIVIDUAL,1988-04-02,Indian,WIEPL2499R,,,XXXXXXXX9064,"House No. 391, Phase-22, Indore, MP - 452001",,MHA_UAPA_SYNTHETIC,UAPA-114/2025,Designated under Unlawful Activities Prevention Act for alleged unlawful association / terror activity.,2018-09-09,HIGH
WL0049,Vikram Shah,Shah Vikram|V. Shah,INDIVIDUAL,1963-07-27,Indian,CAJFK6543R,,,,"Office 72, Mumbai, MH",,RBI_CAUTION_LIST_SYNTHETIC,RBI-CL-6504,Listed on RBI Caution List for previous involvement in cheque fraud / forged documents / unauthorised remittances.,2019-12-03,MEDIUM
WL0050,Rabia Reddy,Reddy Rabia|R. Reddy,INDIVIDUAL,1964-11-26,Indian,NDOPE8851J,T9643290,98047598,XXXXXXXX1502,"Last known: Singapore, Singapore (originally Bengaluru)",,ED_FUGITIVE_SYNTHETIC,FEOA-030/2020,Declared Fugitive Economic Offender under FEOA 2018 in connection with alleged bank fraud / loan default exceeding ₹100 crore.,2022-03-21,CRITICAL
WL0051,Neha Gupta,Gupta Neha,INDIVIDUAL,1968-08-08,Indian,KMPFG7554A,,,XXXXXXXX7572,"Flat 124, Phase-23, Chennai, TN - 600001",,MHA_UAPA_SYNTHETIC,UAPA-081/2022,Designated under Unlawful Activities Prevention Act for alleged unlawful association / terror activity.,2022-11-04,CRITICAL
WL0052,Kabir Verma,Verma Kabir|K. Verma,INDIVIDUAL,1951-05-15,Indian,OVITM5716W,,,XXXXXXXX8606,"55, Plot 34, Bengaluru, KA",+91-8912534101,UN_UNSC_SYNTHETIC,QDi.124,Listed under UNSC_1988 for alleged involvement in terror financing or designated terror group association.,2006-11-26,CRITICAL
WL0053,Kapoor Trading Group,,ENTITY,2022-12-18,Indian,RJMAL9484P,,L32925KA2010NPL273605,,"Plot 225, Noida, UP - 201301",,BANK_INTERNAL_STR_SYNTHETIC,INT-STR-40414,Internal flag: entity associated with one or more historical STRs filed by the bank.,2024-02-07,HIGH
WL0054,Ali Al-Zarqawi,Al-Zarqawi Ali|A. Al-Zarqawi,INDIVIDUAL,1951-08-14,UAE,TFIAR3978M,G8263748,,XXXXXXXX7612,"88, Sector 38, Antwerp, BE",,UN_UNSC_SYNTHETIC,QDi.425,Listed under UNSC_1267 for alleged involvement in terror financing or designated terror group association.,2014-05-10,CRITICAL
WL0055,Rakesh Gupta,Gupta Rakesh|R. Gupta,INDIVIDUAL,1971-02-25,Indian,KOIFK0746U,,,,"30, Sector 10, Chennai, TN",+91-8603127156,UN_UNSC_SYNTHETIC,QDi.321,Listed under UNSC_2253 for alleged involvement in terror financing or designated terror group association.,2021-05-07,CRITICAL
WL0056,Naresh Tiwari,Tiwari Naresh,INDIVIDUAL,1990-07-11,Indian,VIGPT2963K,,,,"Flat 212, Phase-7, Surat, GJ - 395001",+91-8444313846,MHA_UAPA_SYNTHETIC,UAPA-150/2023,Designated under Unlawful Activities Prevention Act for alleged unlawful association / terror activity.,2024-05-21,HIGH
WL0057,Rahul Malhotra,Malhotra Rahul,INDIVIDUAL,1951-07-01,Indian,JPLCL0850U,,00833377,XXXXXXXX2590,"Office 25, Surat GJ 395001",,RBI_WILFUL_DEFAULTER_SYNTHETIC,RBI-WD-3444,Reported as Wilful Defaulter under RBI Master Direction on Wilful Defaulters. Outstanding ₹1688 crore across consortium of lenders.,2025-01-18,MEDIUM
WL0058,Pan-Asian Imports LLC,,ENTITY,2015-08-24,Indian,,,U68721WB2016PTC351782,,"Plot 164, Indore, MP - 452001",,BANK_INTERNAL_STR_SYNTHETIC,INT-STR-50092,Internal flag: entity associated with one or more historical STRs filed by the bank.,2025-12-02,HIGH
WL0059,Ravi Chatterjee,Chatterjee Ravi|R. Chatterjee,INDIVIDUAL,1995-11-21,Indian,MTACI3582V,,,XXXXXXXX4450,"Shop 2, Hyderabad, TS",,RBI_CAUTION_LIST_SYNTHETIC,RBI-CL-2276,Listed on RBI Caution List for previous involvement in cheque fraud / forged documents / unauthorised remittances.,2022-07-14,HIGH
WL0060,Global Investments Ltd,Global Investments Limited,ENTITY,2023-05-03,Indian,IIDCC7026S,,L35314WB2021PLC872883,,"Shop 105, Ahmedabad, GJ",,RBI_CAUTION_LIST_SYNTHETIC,RBI-CL-6502,Listed on RBI Caution List for previous involvement in cheque fraud / forged documents / unauthorised remittances.,2019-06-22,HIGH
WL0061,Riya Shah,Shah Riya,INDIVIDUAL,2000-06-06,Indian,NKXCZ2537A,G1648410,,XXXXXXXX1216,"Flat 411, Phase-27, Kochi, KL - 682001",,MHA_UAPA_SYNTHETIC,UAPA-226/2019,Designated under Unlawful Activities Prevention Act for alleged unlawful association / terror activity.,2022-09-02,CRITICAL
WL0062,Chatterjee Investments Private Limited,Chatterjee Investments Pvt Ltd,ENTITY,1995-05-10,Indian,DOMAO1477J,,L09121TS2016PTC998841,,"Plot 109, Kochi KL 682001",+91-8287285411,RBI_WILFUL_DEFAULTER_SYNTHETIC,RBI-WD-4364,Reported as Wilful Defaulter under RBI Master Direction on Wilful Defaulters. Outstanding ₹550 crore across consortium of lenders.,2020-05-13,HIGH
WL0063,Mohan Ahmed,Ahmed Mohan|M. Ahmed|Mohan Ahmad,INDIVIDUAL,1955-10-12,Indian,ZMYLE9305D,W4105300,24756321,XXXXXXXX3330,"Last known: Dhaka, Bangladesh (originally Ahmedabad)",,ED_FUGITIVE_SYNTHETIC,FEOA-048/2023,Declared Fugitive Economic Offender under FEOA 2018 in connection with alleged bank fraud / loan default exceeding ₹100 crore.,2019-05-04,CRITICAL
WL0064,Tiwari Holdings Enterprises,,ENTITY,2009-06-22,Indian,OVPHI4650B,,U88994MH2010PLC773928,,"Office 134, New Delhi, DL",,RBI_CAUTION_LIST_SYNTHETIC,RBI-CL-9801,Listed on RBI Caution List for previous involvement in cheque fraud / forged documents / unauthorised remittances.,2019-05-10,HIGH
WL0065,Naresh Bansal,Bansal Naresh|N. Bansal,INDIVIDUAL,1971-12-01,Indian,FFSTL3239A,W4322247,15416942,XXXXXXXX5802,"Last known: Hong Kong, Hong Kong (originally Ahmedabad)",,ED_FUGITIVE_SYNTHETIC,FEOA-012/2018,Declared Fugitive Economic Offender under FEOA 2018 in connection with alleged bank fraud / loan default exceeding ₹100 crore.,2021-07-07,CRITICAL
WL0066,Ananya Reddy,Reddy Ananya,INDIVIDUAL,1996-08-12,Indian,TCFHR0926K,T9865608,,,"Flat 146, Phase-5, Surat, GJ - 395001",,MHA_UAPA_SYNTHETIC,UAPA-176/2025,Designated under Unlawful Activities Prevention Act for alleged unlawful association / terror activity.,2025-09-27,HIGH
WL0067,Vikram Das,Das Vikram|Vikarm Das,INDIVIDUAL,1961-05-02,Indian,VEAFA9689E,X5395039,82872932,,"Last known: Mauritius, Mauritius (originally Jaipur)",,ED_FUGITIVE_SYNTHETIC,FEOA-008/2024,Declared Fugitive Economic Offender under FEOA 2018 in connection with alleged bank fraud / loan default exceeding ₹100 crore.,2025-11-02,CRITICAL
WL0068,Malhotra Commerce Private Limited,Malhotra Commerce Pvt Ltd,ENTITY,2024-09-13,Indian,BANHN9069M,,U41238WB2013PLC778274,,"Flat 385, Sec-20, Bengaluru, KA - 560001",+91-8815292992,MHA_UAPA_SYNTHETIC,UAPA-178/2023,Designated under Unlawful Activities Prevention Act for alleged unlawful association / terror activity.,2019-11-11,CRITICAL
WL0069,Chatterjee Imports Enterprises,,ENTITY,2010-08-14,Indian,GXHPY4934U,,U04062DL2020PTC877377,,"Plot 297, New Delhi, DL - 110001",,BANK_INTERNAL_STR_SYNTHETIC,INT-STR-79131,Internal flag: entity associated with one or more historical STRs filed by the bank.,2024-05-21,HIGH
WL0070,Rashmi Bose,Bose Rashmi|R. Bose,INDIVIDUAL,1953-08-13,Indian,,,,,"Plot 208, Bengaluru, KA - 560001",,BANK_INTERNAL_STR_SYNTHETIC,INT-STR-71729,Internal flag: entity associated with one or more historical STRs filed by the bank.,2024-03-29,MEDIUM
WL0071,Ramesh Ahmed,Ahmed Ramesh|R. Ahmed|Ramesh Ahmad,INDIVIDUAL,1982-08-20,Indian,OZCLH0742V,A5885968,,,"Last known: Dubai, UAE (originally Mumbai)",,ED_FUGITIVE_SYNTHETIC,FEOA-027/2019,Declared Fugitive Economic Offender under FEOA 2018 in connection with alleged bank fraud / loan default exceeding ₹100 crore.,2018-03-05,CRITICAL
WL0072,Farah Bansal,Bansal Farah|F. Bansal,INDIVIDUAL,1959-09-30,Indian,WTHFU7931L,F0957207,,XXXXXXXX9184,"Last known: Cyprus, Cyprus (originally Jaipur)",,ED_FUGITIVE_SYNTHETIC,FEOA-006/2021,Declared Fugitive Economic Offender under FEOA 2018 in connection with alleged bank fraud / loan default exceeding ₹100 crore.,2023-11-26,CRITICAL
WL0073,Star Holdings Ltd,Star Holdings Limited|Star Holdings Enterprises,ENTITY,2019-06-13,Indian,,,L09697TS2016PLC058841,,"80, Plot 11, Lucknow, UP",,UN_UNSC_SYNTHETIC,QDe.183,Listed under UNSC_1988 for alleged involvement in terror financing or designated terror group association.,2025-02-07,CRITICAL
WL0074,Manoj Nair,Nair Manoj|M. Nair|Maonj Nair,INDIVIDUAL,1978-04-27,Indian,GBWPU2933Y,S9843382,81450168,XXXXXXXX8761,"Last known: London, UK (originally Ahmedabad)",,ED_FUGITIVE_SYNTHETIC,FEOA-046/2020,Declared Fugitive Economic Offender under FEOA 2018 in connection with alleged bank fraud / loan default exceeding ₹100 crore.,2020-04-14,CRITICAL
WL0075,Vikram Rao,Rao Vikram,INDIVIDUAL,1991-04-25,Indian,MBJLW6830Q,C4481292,94487964,,"70, Block 30, Hyderabad, TS",,UN_UNSC_SYNTHETIC,QDi.264,Listed under UNSC_1267 for alleged involvement in terror financing or designated terror group association.,2004-02-12,CRITICAL
WL0076,United Trading LLC,,ENTITY,2020-12-21,Indian,OFRFL1953Q,,L07166TN2020PLC135591,,"Plot 47, Kochi KL 682001",+91-8647400031,RBI_WILFUL_DEFAULTER_SYNTHETIC,RBI-WD-8652,Reported as Wilful Defaulter under RBI Master Direction on Wilful Defaulters. Outstanding ₹976 crore across consortium of lenders.,2018-06-24,MEDIUM
WL0077,Mishra Exports Pvt Ltd,Mishra Exports Pvt Limited,ENTITY,2023-02-06,Sri Lankan,,,U80355TN2009PTC948736,,"19, Block 2, Kolkata, WB",,UN_UNSC_SYNTHETIC,QDe.081,Listed under UNSC_1267 for alleged involvement in terror financing or designated terror group association.,2015-08-08,CRITICAL
