account_id,pan,holder_name,dob,account_age_days,account_type,kyc_status,home_state,home_city,typical_device_id,avg_monthly_txn_count,avg_monthly_txn_value_inr,avg_tx_amount_inr,balance_inr,previous_flags,previous_strs,linked_accounts_count,occupation_category,is_pep,negative_news_flag,account_dormancy_days,onboarding_channel,is_registered_merchant,travel_profile,home_country
ACC19406,LRCUK0056O,Isha Khan,1976-02-08,621,Savings,Full KYC,HR,Gurugram,DEV-ACC19406,15,80430,11865,539330,0,0,1,Student,No,No,1,Branch,False,DOMESTIC_STATIC,IN
ACC49445,ZCMQD8437N,Suresh Verma,1997-08-21,2015,Savings,Full KYC,RJ,Jodhpur,DEV-ACC49445,15,23566,7042,583969,0,0,1,Retired,No,No,4,Digital,False,DOMESTIC_STATIC,IN
ACC69720,PPSDV6509Y,Anjali Bose,1966-02-23,1019,Savings,Full KYC,GJ,Ahmedabad,DEV-ACC69720,15,80244,6719,252915,0,0,2,Business,No,No,4,Branch,False,DOMESTIC_STATIC,IN
ACC77324,SYMCZ9842Z,Vivaan Verma,2000-05-16,2189,Savings,Full KYC,KA,Mangaluru,DEV-ACC77324,15,34883,6636,409909,0,0,1,Student,No,No,2,Branch,False,DOMESTIC_STATIC,IN
ACC32290,MDXTN3561E,Priya Joshi,1983-07-06,1770,Current,Full KYC,MH,Mumbai,DEV-ACC32290,37,13583,18688,100193,0,0,0,Business,No,No,5,Digital,False,DOMESTIC_STATIC,IN
ACC86343,XDBRX9498B,Isha Gupta,1978-03-20,1641,Current,Full KYC,TN,Coimbatore,DEV-ACC86343,20,47669,3138,409576,0,0,3,Business,No,No,1,Branch,False,DOMESTIC_STATIC,IN
ACC85419,FXCVE9702S,Neha Iyer,1986-05-25,549,Current,Full KYC,GJ,Surat,DEV-ACC85419,12,25998,14496,94063,0,0,3,Self-Employed,No,No,4,Digital,False,DOMESTIC_STATIC,IN
ACC77060,YHGRN8089U,Neha Das,1972-07-24,1009,Current,Full KYC,KA,Mysuru,DEV-ACC77060,9,45123,18558,69225,0,0,0,Student,No,No,3,Branch,False,DOMESTIC_STATIC,IN
ACC49887,HAWMI0814F,Suresh Iyer,1964-10-12,2299,Savings,Full KYC,TN,Chennai,DEV-ACC49887,16,37733,14506,312643,0,0,1,Salaried,No,No,4,Digital,False,DOMESTIC_STATIC,IN
ACC46480,YAUNA0072Q,Mohan Singh,1994-11-01,474,Savings,Full KYC,GJ,Surat,DEV-ACC46480,33,17406,9084,267822,0,0,0,Salaried,No,No,1,Digital,False,DOMESTIC_STATIC,IN
ACC81718,HZMEZ0058G,Priya Sharma,1996-08-19,909,Savings,Full KYC,TN,Coimbatore,DEV-ACC81718,8,58269,9600,51265,0,0,0,Salaried,No,No,2,Digital,False,DOMESTIC_STATIC,IN
ACC56238,XEDGB5976O,Rohan Bose,1985-02-28,1343,Savings,Full KYC,HR,Faridabad,DEV-ACC56238,12,42305,20392,292994,0,0,2,Salaried,No,No,0,Branch,False,DOMESTIC_STATIC,IN
ACC65713,HWJGA0765Y,Mohan Verma,1972-10-25,1595,Savings,Full KYC,GJ,Ahmedabad,DEV-ACC65713,15,71854,5688,414146,0,0,3,Salaried,No,No,1,Branch,False,DOMESTIC_STATIC,IN
ACC30808,JYYZL1360P,Isha Iyer,1967-04-21,2737,Savings,Full KYC,GJ,Surat,DEV-ACC30808,25,18222,3405,477896,0,0,2,Salaried,No,No,1,Digital,False,DOMESTIC_STATIC,IN
ACC76177,MLDNR3468D,Rohan Reddy,1970-05-18,1441,Savings,Full KYC,HR,Faridabad,DEV-ACC76177,24,84528,23394,98715,0,0,0,Business,No,No,1,Branch,False,DOMESTIC_STATIC,IN
ACC85382,XIKBG9413F,Suresh Patel,1956-11-25,870,Savings,Full KYC,GJ,Ahmedabad,DEV-ACC85382,23,15779,9466,152104,0,0,2,Salaried,No,No,1,Branch,False,DOMESTIC_STATIC,IN
ACC76804,SACMH6758P,Anjali Patel,1998-09-02,1320,Savings,Full KYC,TG,Hyderabad,DEV-ACC76804,39,16448,22239,404211,0,0,3,Student,No,No,2,Digital,False,DOMESTIC_STATIC,IN
ACC23128,CYHEZ3974R,Vivaan Nair,1993-12-13,2492,Savings,Full KYC,KL,Kochi,DEV-ACC23128,6,84595,14429,505260,0,0,1,Salaried,No,No,3,Digital,False,DOMESTIC_STATIC,IN
ACC07286,MDDKM5652I,Isha Sharma,1957-01-14,3325,Savings,Full KYC,WB,Kolkata,DEV-ACC07286,10,51502,14188,195818,0,0,2,Business,No,No,0,Branch,False,DOMESTIC_STATIC,IN
ACC79641,JDXIC7357G,Neha Sharma,1973-02-01,3019,Savings,Full KYC,HR,Gurugram,DEV-ACC79641,9,61570,10346,335453,0,0,1,Self-Employed,No,No,0,Digital,False,DOMESTIC_STATIC,IN
ACC39869,FEBLX4026Q,Anjali Iyer,1958-01-12,1697,Savings,Full KYC,WB,Kolkata,DEV-ACC39869,26,8549,9653,343157,0,0,3,Retired,No,No,3,Digital,False,DOMESTIC_STATIC,IN
ACC80592,HYXBN5269P,Aditya Bose,1981-01-01,873,Savings,Full KYC,TN,Coimbatore,DEV-ACC80592,28,41684,19954,143522,0,0,0,Retired,No,No,2,Digital,False,DOMESTIC_STATIC,IN
ACC75190,BOPGQ8268W,Mohan Das,1967-06-12,2874,Savings,Full KYC,RJ,Jaipur,DEV-ACC75190,26,56447,24915,332679,0,0,3,Business,No,No,4,Branch,False,DOMESTIC_STATIC,IN
ACC79795,ZKWPD4178A,Rohan Gupta,1995-03-22,1688,Savings,Full KYC,DL,New Delhi,DEV-ACC79795,8,76535,6254,74697,0,0,2,Student,No,No,1,Digital,False,DOMESTIC_STATIC,IN
ACC59197,XBTFP8254Z,Aishwarya Sharma,1961-08-18,2061,Savings,Full KYC,TG,Hyderabad,DEV-ACC59197,10,63609,7296,535520,0,0,1,Student,No,No,0,Branch,False,DOMESTIC_STATIC,IN
ACC47206,YAQDH4878R,Suresh Reddy,1975-02-23,1287,Savings,Full KYC,DL,New Delhi,DEV-ACC47206,11,8916,13300,60130,0,0,0,Retired,No,No,5,Branch,False,DOMESTIC_STATIC,IN
ACC64077,LZZTY5603S,Rohan Gupta,1981-01-17,1626,Savings,Full KYC,RJ,Jaipur,DEV-ACC64077,19,76748,15063,481509,0,0,0,Salaried,No,No,5,Branch,False,DOMESTIC_STATIC,IN
ACC35904,ACVEF8499T,Aarav Singh,1959-10-18,2590,Savings,Full KYC,DL,New Delhi,DEV-ACC35904,33,49804,16237,337255,0,0,0,Retired,No,No,4,Branch,False,DOMESTIC_STATIC,IN
ACC66109,NLMUK0342I,Aishwarya Nair,1961-06-11,3350,Savings,Full KYC,WB,Kolkata,DEV-ACC66109,16,29670,5448,558189,0,0,1,Self-Employed,No,No,0,Branch,False,DOMESTIC_STATIC,IN
ACC10208,CVNTU4077S,Mohan Das,1985-10-02,1789,Savings,Full KYC,GJ,Ahmedabad,DEV-ACC10208,32,8587,3491,293627,0,0,1,Self-Employed,No,No,4,Digital,False,DOMESTIC_STATIC,IN
ACC95325,XCRQW6285Q,Isha Singh,1956-03-17,2254,Savings,Full KYC,KL,Kochi,DEV-ACC95325,36,8335,19422,50564,0,0,0,Self-Employed,No,No,5,Branch,False,DOMESTIC_STATIC,IN
ACC04353,ETOYJ5644P,Neha Joshi,1988-08-02,794,Savings,Full KYC,DL,New Delhi,DEV-ACC04353,17,20205,18694,334563,0,0,2,Business,No,No,4,Branch,False,DOMESTIC_STATIC,IN
ACC18598,RDISQ7586O,Ramesh Patel,2001-08-15,2288,Savings,Full KYC,DL,New Delhi,DEV-ACC18598,12,46364,19463,473804,0,0,0,Business,No,No,3,Digital,False,DOMESTIC_STATIC,IN
ACC29266,FRWTF7971C,Ramesh Das,1978-09-13,3182,Savings,Full KYC,HR,Gurugram,DEV-ACC29266,29,9563,24743,380961,0,0,1,Student,No,No,4,Branch,False,DOMESTIC_STATIC,IN
ACC72663,GKJLW2562Z,Isha Joshi,1993-06-16,1350,Savings,Full KYC,MH,Pune,DEV-ACC72663,11,86132,24117,156265,0,0,1,Salaried,No,No,4,Branch,False,DOMESTIC_STATIC,IN
ACC51810,GHVAS8693C,Kavya Bose,1998-05-15,1997,Savings,Full KYC,HR,Faridabad,DEV-ACC51810,32,11853,11324,266775,0,0,2,Student,No,No,0,Digital,False,DOMESTIC_STATIC,IN
ACC70109,INFPT3382M,Isha Patel,1959-01-20,3216,Savings,Full KYC,HR,Gurugram,DEV-ACC70109,26,18415,19061,556394,0,0,3,Self-Employed,No,No,0,Digital,False,DOMESTIC_STATIC,IN
ACC86123,RDXYE0086L,Isha Khan,1969-06-23,2239,Savings,Full KYC,KA,Mangaluru,DEV-ACC86123,30,85299,10543,160428,0,0,0,Salaried,No,No,4,Branch,False,DOMESTIC_STATIC,IN
ACC21183,GFYAS2642M,Sachin Nair,1979-01-10,2929,Savings,Full KYC,TN,Chennai,DEV-ACC21183,23,62695,12668,229389,0,0,1,Student,No,No,0,Digital,False,DOMESTIC_STATIC,IN
ACC56643,PNPBO1755F,Aditya Khan,1966-03-15,2952,Savings,Full KYC,TN,Chennai,DEV-ACC56643,31,23777,16832,64139,0,0,3,Self-Employed,No,No,0,Branch,False,DOMESTIC_STATIC,IN
ACC21065,UGTMI9937P,Rohan Das,1960-03-05,3445,Savings,Full KYC,TN,Chennai,DEV-ACC21065,27,30278,4634,400755,0,0,0,Retired,No,No,0,Digital,False,DOMESTIC_STATIC,IN
MULE1,HYWXB4030H,Rohan Das,1967-12-26,60,Savings,Full KYC,MH,Mumbai,DEV-MULE1,35,70722,8636,358619,0,0,0,Self-Employed,No,No,0,Branch,False,DOMESTIC_STATIC,IN
PYR1_0,YMRTL3963U,Anjali Pillai,1990-07-13,800,Savings,Full KYC,MH,Mumbai,DEV-PYR1_0,17,23006,22995,536549,0,0,0,Student,No,No,1,Branch,False,DOMESTIC_STATIC,IN
PYR1_1,QRVVE3069L,Priya Nair,1967-03-08,800,Savings,Full KYC,MH,Mumbai,DEV-PYR1_1,9,39818,5372,209900,0,0,2,Salaried,No,No,5,Digital,False,DOMESTIC_STATIC,IN
PYR1_2,HJQAO4809S,Kavya Rao,1959-02-14,800,Savings,Full KYC,MH,Mumbai,DEV-PYR1_2,12,65828,20684,540883,0,0,2,Student,No,No,4,Digital,False,DOMESTIC_STATIC,IN
PYR1_3,CUDYY6768J,Aishwarya Iyer,1977-07-15,800,Savings,Full KYC,MH,Mumbai,DEV-PYR1_3,29,62071,18543,234372,0,0,0,Student,No,No,3,Branch,False,DOMESTIC_STATIC,IN
PYR1_4,AQXVY6218V,Aarav Nair,1969-06-21,800,Savings,Full KYC,MH,Mumbai,DEV-PYR1_4,9,35995,16181,146676,0,0,2,Student,No,No,3,Digital,False,DOMESTIC_STATIC,IN
PYR1_5,MDXGZ0419R,Rohan Singh,1971-03-23,800,Savings,Full KYC,MH,Mumbai,DEV-PYR1_5,40,69790,15124,540819,0,0,2,Student,No,No,0,Digital,False,DOMESTIC_STATIC,IN
SINK1,BHPVD5784C,Isha Khan,1967-07-06,1200,Savings,Full KYC,MH,Mumbai,DEV-SINK1,4,51450,17111,492915,0,0,1,Self-Employed,No,No,4,Digital,False,DOMESTIC_STATIC,IN
MULE2,YDPWL3748F,Rohan Reddy,1993-06-21,60,Savings,Full KYC,MH,Mumbai,DEV-MULE2,22,73241,21084,206486,0,0,2,Salaried,No,No,2,Branch,False,DOMESTIC_STATIC,IN
PYR2_0,RBPRO5921B,Mohan Patel,1981-02-11,800,Savings,Full KYC,MH,Mumbai,DEV-PYR2_0,36,52262,6218,338722,0,0,3,Salaried,No,No,4,Branch,False,DOMESTIC_STATIC,IN
PYR2_1,WJMPI3698J,Aarav Pillai,1995-02-27,800,Savings,Full KYC,MH,Mumbai,DEV-PYR2_1,6,44423,15708,261889,0,0,1,Student,No,No,4,Digital,False,DOMESTIC_STATIC,IN
PYR2_2,SSJXY3021E,Isha Singh,1984-02-13,800,Savings,Full KYC,MH,Mumbai,DEV-PYR2_2,12,71642,14713,499052,0,0,3,Retired,No,No,5,Digital,False,DOMESTIC_STATIC,IN
PYR2_3,YIYIN9212M,Aarav Pillai,1957-08-27,800,Savings,Full KYC,MH,Mumbai,DEV-PYR2_3,27,8747,6513,414317,0,0,1,Retired,No,No,2,Digital,False,DOMESTIC_STATIC,IN
PYR2_4,CYBWF8638I,Isha Joshi,1994-09-25,800,Savings,Full KYC,MH,Mumbai,DEV-PYR2_4,8,31079,21440,431644,0,0,2,Salaried,No,No,4,Digital,False,DOMESTIC_STATIC,IN
PYR2_5,KJCMQ5577N,Rohan Reddy,1978-11-07,800,Savings,Full KYC,MH,Mumbai,DEV-PYR2_5,7,22968,17977,115839,0,0,0,Salaried,No,No,2,Digital,False,DOMESTIC_STATIC,IN
SINK2,DQVCB0818P,Neha Singh,1964-09-22,1200,Savings,Full KYC,MH,Mumbai,DEV-SINK2,5,20054,11340,65010,0,0,2,Business,No,No,1,Branch,False,DOMESTIC_STATIC,IN
MULE3,ICFXJ3241L,Rohan Joshi,1977-01-24,60,Savings,Full KYC,MH,Mumbai,DEV-MULE3,22,89363,16526,573126,0,0,0,Retired,No,No,4,Branch,False,DOMESTIC_STATIC,IN
PYR3_0,YEKRN7814Y,Aishwarya Verma,1984-09-09,800,Savings,Full KYC,MH,Mumbai,DEV-PYR3_0,37,86047,15097,121082,0,0,2,Self-Employed,No,No,1,Digital,False,DOMESTIC_STATIC,IN
PYR3_1,MKORM8137H,Neha Gupta,1968-08-25,800,Savings,Full KYC,MH,Mumbai,DEV-PYR3_1,37,50481,21730,460176,0,0,0,Business,No,No,3,Branch,False,DOMESTIC_STATIC,IN
PYR3_2,YUYAJ3719E,Ramesh Singh,1988-10-02,800,Savings,Full KYC,MH,Mumbai,DEV-PYR3_2,34,51645,9839,501024,0,0,3,Business,No,No,2,Branch,False,DOMESTIC_STATIC,IN
PYR3_3,RAEWW8143H,Aditya Reddy,1974-05-04,800,Savings,Full KYC,MH,Mumbai,DEV-PYR3_3,35,30608,16639,429600,0,0,2,Retired,No,No,4,Digital,False,DOMESTIC_STATIC,IN
PYR3_4,SLKPY6977K,Karan Rao,1966-11-24,800,Savings,Full KYC,MH,Mumbai,DEV-PYR3_4,26,26234,16202,389118,0,0,1,Salaried,No,No,4,Branch,False,DOMESTIC_STATIC,IN
PYR3_5,PVZVR1452M,Suresh Reddy,1966-02-27,800,Savings,Full KYC,MH,Mumbai,DEV-PYR3_5,24,46530,20610,415733,0,0,3,Retired,No,No,1,Branch,False,DOMESTIC_STATIC,IN
SINK3,DUGIU0755I,Ramesh Bose,1978-02-24,1200,Savings,Full KYC,MH,Mumbai,DEV-SINK3,15,24924,24117,371128,0,0,2,Business,No,No,2,Branch,False,DOMESTIC_STATIC,IN
MULE4,BHDRH5836L,Kavya Nair,1977-12-26,60,Savings,Full KYC,MH,Mumbai,DEV-MULE4,25,50193,10274,231650,0,0,1,Retired,No,No,3,Branch,False,DOMESTIC_STATIC,IN
PYR4_0,VNCOO7484H,Aditya Singh,2002-11-19,800,Savings,Full KYC,MH,Mumbai,DEV-PYR4_0,18,77715,10113,317820,0,0,3,Student,No,No,3,Digital,False,DOMESTIC_STATIC,IN
PYR4_1,QXYGS5274S,Anjali Khan,1960-10-12,800,Savings,Full KYC,MH,Mumbai,DEV-PYR4_1,15,70941,22059,382380,0,0,2,Retired,No,No,3,Branch,False,DOMESTIC_STATIC,IN
PYR4_2,DDFHE8282Q,Aditya Verma,1998-07-12,800,Savings,Full KYC,MH,Mumbai,DEV-PYR4_2,7,50216,15149,78823,0,0,3,Self-Employed,No,No,3,Digital,False,DOMESTIC_STATIC,IN
PYR4_3,VYBLN2911Y,Anjali Singh,1999-01-22,800,Savings,Full KYC,MH,Mumbai,DEV-PYR4_3,4,55287,24825,288472,0,0,2,Business,No,No,3,Digital,False,DOMESTIC_STATIC,IN
PYR4_4,HUQVO1378Q,Suresh Joshi,1991-04-13,800,Savings,Full KYC,MH,Mumbai,DEV-PYR4_4,35,12141,7021,431556,0,0,3,Business,No,No,3,Digital,False,DOMESTIC_STATIC,IN
PYR4_5,WAHFS9245F,Vivaan Pillai,1962-01-06,800,Savings,Full KYC,MH,Mumbai,DEV-PYR4_5,21,47331,6365,120297,0,0,3,Retired,No,No,2,Branch,False,DOMESTIC_STATIC,IN
SINK4,UZWTU7869M,Isha Khan,1996-02-18,1200,Savings,Full KYC,MH,Mumbai,DEV-SINK4,33,86803,20250,589950,0,0,0,Retired,No,No,4,Digital,False,DOMESTIC_STATIC,IN
MULE5,CQVRI3178A,Aditya Singh,1967-03-23,60,Savings,Full KYC,MH,Mumbai,DEV-MULE5,25,20313,8910,426293,0,0,0,Business,No,No,3,Branch,False,DOMESTIC_STATIC,IN
PYR5_0,MEVWJ9471B,Aishwarya Rao,1996-01-11,800,Savings,Full KYC,MH,Mumbai,DEV-PYR5_0,37,24820,4474,399923,0,0,3,Retired,No,No,0,Digital,False,DOMESTIC_STATIC,IN
PYR5_1,FCNGU1730J,Karan Menon,1979-08-27,800,Savings,Full KYC,MH,Mumbai,DEV-PYR5_1,16,11411,22873,209447,0,0,3,Self-Employed,No,No,4,Branch,False,DOMESTIC_STATIC,IN
PYR5_2,OQEJU3145R,Suresh Das,1971-04-19,800,Savings,Full KYC,MH,Mumbai,DEV-PYR5_2,24,63145,18441,437489,0,0,3,Student,No,No,5,Digital,False,DOMESTIC_STATIC,IN
PYR5_3,PQZVE2312J,Ramesh Singh,1967-12-14,800,Savings,Full KYC,MH,Mumbai,DEV-PYR5_3,19,72564,16156,469737,0,0,1,Self-Employed,No,No,3,Branch,False,DOMESTIC_STATIC,IN
PYR5_4,EFPRQ5907U,Anjali Menon,1965-09-15,800,Savings,Full KYC,MH,Mumbai,DEV-PYR5_4,9,50936,8820,54493,0,0,1,Student,No,No,0,Branch,False,DOMESTIC_STATIC,IN
PYR5_5,URFQB8591U,Aditya Pillai,1960-04-14,800,Savings,Full KYC,MH,Mumbai,DEV-PYR5_5,13,64431,9052,406473,0,0,2,Retired,No,No,4,Digital,False,DOMESTIC_STATIC,IN
SINK5,IOQFM4473Y,Mohan Pillai,1969-05-02,1200,Savings,Full KYC,MH,Mumbai,DEV-SINK5,25,59653,11991,443611,0,0,1,Salaried,No,No,2,Digital,False,DOMESTIC_STATIC,IN
MULE6,GQFPA2872B,Rohan Verma,1961-08-20,60,Savings,Full KYC,MH,Mumbai,DEV-MULE6,22,59470,5765,65829,0,0,0,Business,No,No,3,Digital,False,DOMESTIC_STATIC,IN
PYR6_0,XTAIN1712W,Anjali Khan,1994-02-19,800,Savings,Full KYC,MH,Mumbai,DEV-PYR6_0,13,64823,4504,150537,0,0,0,Salaried,No,No,5,Branch,False,DOMESTIC_STATIC,IN
PYR6_1,BPBJO8747N,Ramesh Bose,1966-09-12,800,Savings,Full KYC,MH,Mumbai,DEV-PYR6_1,35,47938,22573,75646,0,0,3,Retired,No,No,5,Branch,False,DOMESTIC_STATIC,IN
PYR6_2,PRRSI7055L,Rohan Joshi,1993-08-08,800,Savings,Full KYC,MH,Mumbai,DEV-PYR6_2,17,67387,18002,196071,0,0,1,Salaried,No,No,0,Digital,False,DOMESTIC_STATIC,IN
PYR6_3,PUGEJ7530G,Rohan Das,1970-06-08,800,Savings,Full KYC,MH,Mumbai,DEV-PYR6_3,17,36038,20206,269463,0,0,2,Retired,No,No,1,Branch,False,DOMESTIC_STATIC,IN
PYR6_4,WHYZP1571M,Vivaan Patel,1998-12-07,800,Savings,Full KYC,MH,Mumbai,DEV-PYR6_4,32,34272,11370,489148,0,0,2,Business,No,No,3,Branch,False,DOMESTIC_STATIC,IN
PYR6_5,VYCFZ1216X,Mohan Joshi,1974-03-20,800,Savings,Full KYC,MH,Mumbai,DEV-PYR6_5,35,14550,9346,309144,0,0,3,Self-Employed,No,No,2,Digital,False,DOMESTIC_STATIC,IN
SINK6,UPURO8318S,Aditya Sharma,1962-03-01,1200,Savings,Full KYC,MH,Mumbai,DEV-SINK6,12,60236,22667,216619,0,0,1,Salaried,No,No,3,Digital,False,DOMESTIC_STATIC,IN
MULE7,OZWRH2874C,Ramesh Gupta,1987-08-02,30,Savings,Full KYC,MH,Mumbai,DEV-MULE7,25,64384,19190,542730,0,0,3,Self-Employed,No,No,0,Branch,False,DOMESTIC_STATIC,IN
PYR7_0,EJZVL7099D,Aishwarya Iyer,1974-09-27,800,Savings,Full KYC,MH,Mumbai,DEV-PYR7_0,33,76143,15846,519455,0,0,1,Student,No,No,0,Branch,False,DOMESTIC_STATIC,IN
PYR7_1,WWVNA1543U,Karan Sharma,1990-05-27,800,Savings,Full KYC,MH,Mumbai,DEV-PYR7_1,7,19179,24736,462663,0,0,1,Student,No,No,5,Digital,False,DOMESTIC_STATIC,IN
PYR7_2,PITPX8842S,Sachin Joshi,1995-06-03,800,Savings,Full KYC,MH,Mumbai,DEV-PYR7_2,15,48923,5347,194604,0,0,1,Self-Employed,No,No,5,Digital,False,DOMESTIC_STATIC,IN
PYR7_3,UHSJA8023D,Aditya Reddy,2001-02-08,800,Savings,Full KYC,MH,Mumbai,DEV-PYR7_3,36,10712,9729,361011,0,0,0,Business,No,No,2,Branch,False,DOMESTIC_STATIC,IN
SINK7,OAHZM4208V,Suresh Rao,1991-06-17,1200,Savings,Full KYC,MH,Mumbai,DEV-SINK7,13,76113,22130,495422,0,0,2,Salaried,No,No,2,Branch,False,DOMESTIC_STATIC,IN
MULE8,SGDDW5892S,Kavya Das,1994-05-23,30,Savings,Full KYC,MH,Mumbai,DEV-MULE8,13,58174,14369,118639,0,0,0,Student,No,No,3,Branch,False,DOMESTIC_STATIC,IN
PYR8_0,WOBUE0871S,Sachin Bose,1969-11-26,800,Savings,Full KYC,MH,Mumbai,DEV-PYR8_0,7,51337,15608,574058,0,0,2,Retired,No,No,2,Branch,False,DOMESTIC_STATIC,IN
PYR8_1,MTWQG0839X,Vivaan Gupta,1966-01-01,800,Savings,Full KYC,MH,Mumbai,DEV-PYR8_1,20,19489,21944,89823,0,0,1,Retired,No,No,0,Branch,False,DOMESTIC_STATIC,IN
PYR8_2,CGDRB8777K,Ramesh Iyer,1994-02-15,800,Savings,Full KYC,MH,Mumbai,DEV-PYR8_2,21,36974,3638,197564,0,0,3,Self-Employed,No,No,1,Branch,False,DOMESTIC_STATIC,IN
PYR8_3,MLWFN6343K,Mohan Singh,1959-10-02,800,Savings,Full KYC,MH,Mumbai,DEV-PYR8_3,28,14274,14736,419803,0,0,1,Student,No,No,3,Branch,False,DOMESTIC_STATIC,IN
SINK8,IGEDQ3488F,Kavya Singh,1961-06-24,1200,Savings,Full KYC,MH,Mumbai,DEV-SINK8,24,29955,11060,469325,0,0,0,Business,No,No,5,Branch,False,DOMESTIC_STATIC,IN
MULE9,UNPBD7696Z,Suresh Reddy,1984-12-08,30,Savings,Full KYC,MH,Mumbai,DEV-MULE9,40,64798,16120,569602,0,0,2,Business,No,No,0,Branch,False,DOMESTIC_STATIC,IN
PYR9_0,AKSTJ6039R,Vivaan Pillai,1996-11-19,800,Savings,Full KYC,MH,Mumbai,DEV-PYR9_0,10,25975,19654,427084,0,0,3,Retired,No,No,0,Branch,False,DOMESTIC_STATIC,IN
